map2  |  step:320
random agent score:100.0  |  rl agent score:0.0
random agent win:1.0  |  rl agent win:0.0
map7  |  step:71
random agent score:0.0  |  rl agent score:100.0
random agent win:1.0  |  rl agent win:1.0
map6  |  step:499
random agent score:0.0  |  rl agent score:0.0
random agent win:1.0  |  rl agent win:1.0
map4  |  step:200
random agent score:0.0  |  rl agent score:100.0
random agent win:1.0  |  rl agent win:2.0
map3  |  step:148
random agent score:0.0  |  rl agent score:100.0
random agent win:1.0  |  rl agent win:3.0
map4  |  step:163
random agent score:0.0  |  rl agent score:100.0
random agent win:1.0  |  rl agent win:4.0
map10  |  step:499
random agent score:0.0  |  rl agent score:0.0
random agent win:1.0  |  rl agent win:4.0
map5  |  step:499
random agent score:0.0  |  rl agent score:0.0
random agent win:1.0  |  rl agent win:4.0
map6  |  step:499
random agent score:0.0  |  rl agent score:0.0
random agent win:1.0  |  rl agent win:4.0
map7  |  step:71
random agent score:0.0  |  rl agent score:100.0
random agent win:1.0  |  rl agent win:5.0
map3  |  step:353
random agent score:0.0  |  rl agent score:100.0
random agent win:1.0  |  rl agent win:6.0
map1  |  step:69
random agent score:0.0  |  rl agent score:100.0
random agent win:1.0  |  rl agent win:7.0
map11  |  step:499
random agent score:0.0  |  rl agent score:0.0
random agent win:1.0  |  rl agent win:7.0
map7  |  step:71
random agent score:0.0  |  rl agent score:100.0
random agent win:1.0  |  rl agent win:8.0
map8  |  step:325
random agent score:0.0  |  rl agent score:100.0
random agent win:1.0  |  rl agent win:9.0
map5  |  step:499
random agent score:0.0  |  rl agent score:0.0
random agent win:1.0  |  rl agent win:9.0
map6  |  step:499
random agent score:0.0  |  rl agent score:0.0
random agent win:1.0  |  rl agent win:9.0
map10  |  step:499
random agent score:0.0  |  rl agent score:0.0
random agent win:1.0  |  rl agent win:9.0
map5  |  step:499
random agent score:0.0  |  rl agent score:0.0
random agent win:1.0  |  rl agent win:9.0
map2  |  step:499
random agent score:0.0  |  rl agent score:0.0
random agent win:1.0  |  rl agent win:9.0
map6  |  step:499
random agent score:0.0  |  rl agent score:0.0
random agent win:1.0  |  rl agent win:9.0
map2  |  step:366
random agent score:0.0  |  rl agent score:100.0
random agent win:1.0  |  rl agent win:10.0
map10  |  step:499
random agent score:0.0  |  rl agent score:0.0
random agent win:1.0  |  rl agent win:10.0
map7  |  step:71
random agent score:0.0  |  rl agent score:100.0
random agent win:1.0  |  rl agent win:11.0
map1  |  step:75
random agent score:0.0  |  rl agent score:100.0
random agent win:1.0  |  rl agent win:12.0
map11  |  step:499
random agent score:0.0  |  rl agent score:0.0
random agent win:1.0  |  rl agent win:12.0
map5  |  step:499
random agent score:0.0  |  rl agent score:0.0
random agent win:1.0  |  rl agent win:12.0
map10  |  step:499
random agent score:0.0  |  rl agent score:0.0
random agent win:1.0  |  rl agent win:12.0
map8  |  step:149
random agent score:0.0  |  rl agent score:100.0
random agent win:1.0  |  rl agent win:13.0
map5  |  step:499
random agent score:0.0  |  rl agent score:0.0
random agent win:1.0  |  rl agent win:13.0
map9  |  step:360
random agent score:0.0  |  rl agent score:100.0
random agent win:1.0  |  rl agent win:14.0
map3  |  step:82
random agent score:0.0  |  rl agent score:100.0
random agent win:1.0  |  rl agent win:15.0
map2  |  step:499
random agent score:0.0  |  rl agent score:0.0
random agent win:1.0  |  rl agent win:15.0
map2  |  step:323
random agent score:0.0  |  rl agent score:100.0
random agent win:1.0  |  rl agent win:16.0
map6  |  step:499
random agent score:0.0  |  rl agent score:0.0
random agent win:1.0  |  rl agent win:16.0
map6  |  step:499
random agent score:0.0  |  rl agent score:0.0
random agent win:1.0  |  rl agent win:16.0
map11  |  step:499
random agent score:0.0  |  rl agent score:0.0
random agent win:1.0  |  rl agent win:16.0
map7  |  step:71
random agent score:0.0  |  rl agent score:100.0
random agent win:1.0  |  rl agent win:17.0
map7  |  step:71
random agent score:0.0  |  rl agent score:100.0
random agent win:1.0  |  rl agent win:18.0
map11  |  step:499
random agent score:0.0  |  rl agent score:0.0
random agent win:1.0  |  rl agent win:18.0
map7  |  step:71
random agent score:0.0  |  rl agent score:100.0
random agent win:1.0  |  rl agent win:19.0
map2  |  step:139
random agent score:0.0  |  rl agent score:100.0
random agent win:1.0  |  rl agent win:20.0
map10  |  step:499
random agent score:0.0  |  rl agent score:0.0
random agent win:1.0  |  rl agent win:20.0
map1  |  step:69
random agent score:0.0  |  rl agent score:100.0
random agent win:1.0  |  rl agent win:21.0
map7  |  step:71
random agent score:0.0  |  rl agent score:100.0
random agent win:1.0  |  rl agent win:22.0
map8  |  step:113
random agent score:0.0  |  rl agent score:100.0
random agent win:1.0  |  rl agent win:23.0
map6  |  step:499
random agent score:0.0  |  rl agent score:0.0
random agent win:1.0  |  rl agent win:23.0
map4  |  step:152
random agent score:0.0  |  rl agent score:100.0
random agent win:1.0  |  rl agent win:24.0
map7  |  step:71
random agent score:0.0  |  rl agent score:100.0
random agent win:1.0  |  rl agent win:25.0
